Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,Daily_Return,20_day_MA,50_day_MA,200_day_MA,Volatility_20,Momentum,Average_Volume
2023-09-27,80.68277500200902,81.11806145856218,79.2173564313525,80.44149017333984,15352000,0.0,0.0,AVGO,,,,,,,
2023-09-28,80.77239228422555,82.61303349936932,80.23172731341512,81.93743896484375,16180000,0.0,0.0,AVGO,0.01859673146631602,,,,,,
2023-09-29,82.37567476153322,83.12315949913854,81.04222552479614,81.7975845336914,16481000,0.0,0.0,AVGO,-0.0017068440619965042,,,,,,
2023-10-02,81.64789993391835,82.58348819469147,81.10033747283127,82.22796630859375,14676000,0.0,0.0,AVGO,0.0052615462590472895,,,,,,
2023-10-03,81.44502545859892,82.30674734379893,79.66347887588854,80.24649810791016,18761000,0.0,0.0,AVGO,-0.02409725412942032,,,,,,
2023-10-04,80.78814831702427,81.79759546870267,80.39126395282389,81.13086700439453,16417000,0.0,0.0,AVGO,0.011020654076332903,,,,,,
2023-10-05,80.7664938057355,81.6055622162944,80.31051478993409,81.13580322265625,11474000,0.0,0.0,AVGO,6.0842666225413566e-05,,,,,,
2023-10-06,80.69656071218947,83.55156283971745,79.94020984314876,83.24331665039062,21103000,0.0,0.0,AVGO,0.025975134823659207,,,,,,
2023-10-09,82.77060734679723,84.36110528035242,82.51159786670203,84.2892074584961,15760000,0.0,0.0,AVGO,0.012564261615116257,,,,,,
2023-10-10,84.41427329947399,85.93090473759842,84.27344554511673,84.53836822509766,14718000,0.0,0.0,AVGO,0.0029560221778601736,,,,,,
2023-10-11,84.66639467943081,86.20567219882125,84.35518810155936,86.12886047363281,14334000,0.0,0.0,AVGO,0.018813850822152256,,,,,,
2023-10-12,86.31301841855327,90.4000438212659,86.31301841855327,89.18575286865234,43871000,0.0,0.0,AVGO,0.035492079869736015,,,,,,
2023-10-13,89.52060231041096,91.18594340333527,86.87043612609298,86.977783203125,28312000,0.0,0.0,AVGO,-0.024756977370355537,,,,,,
2023-10-16,87.74495140585496,90.18928923143207,87.74495140585496,88.8873519897461,21150000,0.0,0.0,AVGO,0.021954672978518497,,,,,,
2023-10-17,87.17178978242298,87.94290498103034,85.28584888661341,87.09793090820312,33008000,0.0,0.0,AVGO,-0.020131335240466952,,,,,,
2023-10-18,86.65968489203085,88.20389138592427,86.19188697206256,87.35694122314453,20404000,0.0,0.0,AVGO,0.002973782640306233,,,,,,
2023-10-19,87.35595766214948,87.59920356620366,85.25335401278215,85.46607208251953,26620000,0.0,0.0,AVGO,-0.021645322216525043,,,,,,
2023-10-20,86.16234111321312,86.16234111321312,83.89133479908882,84.06761932373047,26953000,0.0,0.0,AVGO,-0.01636266561354105,,,,,,
2023-10-23,84.49404393082227,86.03431318664387,83.00301893078323,84.91358184814453,16456000,0.0,0.0,AVGO,0.010062881894590037,,,,,,
2023-10-24,85.08889145184017,86.96006067335247,85.00222185266357,86.77392578125,14972000,0.0,0.0,AVGO,0.02190867341378233,84.39221801757813,,,2.8006438250130814,,
2023-10-25,86.37605406286615,86.53953538689449,83.32408209992275,83.67369079589844,21432000,0.0,0.0,AVGO,-0.03572772532116386,84.55382804870605,,,2.649867779054227,,
2023-10-26,83.50429721851523,84.14541925743013,80.59216896234335,81.42041015625,27917000,0.0,0.0,AVGO,-0.026929380289256843,84.52797660827636,,,2.6790968194729348,,
2023-10-27,81.74048464256255,82.74599475282393,81.5966965089547,82.56379699707031,18236000,0.0,0.0,AVGO,0.01404300025787264,84.56628723144532,,,2.6432360766508127,,
2023-10-30,82.8336321566099,83.65399156991437,81.45979706062361,82.84840393066406,20889000,0.0,0.0,AVGO,0.0034471153695105894,84.59730911254883,,,2.6178674862524125,,
2023-10-31,83.10839668028063,83.26695657048475,81.99653142167256,82.86022186279297,14747000,0.0,0.0,AVGO,0.00014264526011631418,84.72799530029297,,,2.449035378930484,,
2023-11-01,82.92226398758586,84.08731818180951,82.28902372139703,83.99966430664062,18684000,0.0,0.0,AVGO,0.013751380556697557,84.87143516540527,,,2.307166701924373,,
2023-11-02,84.89191273444145,86.71384501121557,84.69495073817218,85.80780029296875,18759000,0.0,0.0,AVGO,0.02152551443214734,85.1050350189209,,,2.139451496702181,,
2023-11-03,86.41839830854725,87.40322336049651,85.78417374010367,86.92853546142578,18041000,0.0,0.0,AVGO,0.013060994042855878,85.28929595947265,,,2.129342845548894,,
2023-11-06,86.81823582556477,87.24466375208179,85.79894580048509,86.74634552001953,12870000,0.0,0.0,AVGO,-0.002095858861985489,85.41215286254882,,,2.1394644947712584,,
2023-11-07,86.89308142571741,88.80856574580102,86.2864243582772,88.4195556640625,19365000,0.0,0.0,AVGO,0.01928853756331228,85.60621223449706,,,2.2301362878395623,,
2023-11-08,88.63425270191503,89.90566217632619,88.53577170163663,89.73036193847656,15280000,0.0,0.0,AVGO,0.014824845754646043,85.78628730773926,,,2.412506431334067,0.11547364109143854,
2023-11-09,89.86528191457302,91.56903248316475,89.47726362671513,89.7549819946289,24486000,0.0,0.0,AVGO,0.000274378210679993,85.81474876403809,,,2.4576575140542127,0.09540868165454097,
2023-11-10,90.77526611530429,94.43979320975394,90.42761849078953,94.29896545410156,36272000,0.0,0.0,AVGO,0.050626531903761984,86.18080787658691,,,3.101025525881502,0.15283313060743242,
2023-11-13,93.56329676589083,93.79473124283565,92.62081851610023,93.25603485107422,16893000,0.0,0.0,AVGO,-0.01105983080519557,86.39924201965331,,,3.4373338286197264,0.1341157885517097,
2023-11-14,94.77364605434438,96.19474924871672,94.07540552048258,95.81952667236328,23886000,0.0,0.0,AVGO,0.027488749927903733,86.83532180786133,,,4.032370977343534,0.19406489917493408,
2023-11-15,96.46458833173212,96.68519567972687,95.22371426336474,96.05982971191406,16099000,0.0,0.0,AVGO,0.002507871285697849,87.27046623229981,,,4.530439412490278,0.18401088585323366,
2023-11-16,94.93713293948605,95.40000189866998,93.60958924015787,94.49888610839844,26198000,0.0,0.0,AVGO,-0.016249701963837904,87.72210693359375,,,4.784225028431683,0.164700198370757,
2023-11-17,94.36690967397332,96.89594089969512,93.65685023148822,96.28929138183594,19789000,0.0,0.0,AVGO,0.0189463108737995,88.33319053649902,,,5.065155890028591,0.15672098681791402,
2023-11-20,95.8234790076144,98.46970039300982,95.8234790076144,98.06001281738281,18674000,0.0,0.0,AVGO,0.018389598782330374,88.99051208496094,,,5.437376473401562,0.16337566545120796,
2023-11-21,96.02044062629147,97.59615917487098,95.68855657408108,96.63103485107422,43344000,0.0,0.0,AVGO,-0.014572483984575668,89.48336753845214,,,5.6677406558312695,0.14304353017292448,
2023-11-22,96.87625756736246,97.29973263493987,95.62650984348923,95.72499084472656,33743000,0.0,0.0,AVGO,-0.009376325191425616,90.08593254089355,,,5.658185615337373,0.11141596810086063,
2023-11-24,96.01650771872659,96.49906990187738,95.20796717331815,96.40157318115234,23158000,0.0,0.0,AVGO,0.007067980163333321,90.83499069213867,,,5.437978053583203,0.0809077692389617,
