Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,20_day_MA,200_day_MA,Volatility,Daily_Return
2023-09-27,80.68277500200902,81.11806145856218,79.2173564313525,80.44149017333984,15352000,0.0,0.0,,,,
2023-09-28,80.77239228422555,82.61303349936932,80.23172731341512,81.93743896484375,16180000,0.0,0.0,,,,0.01859673146631602
2023-09-29,82.37567476153322,83.12315949913854,81.04222552479614,81.7975845336914,16481000,0.0,0.0,,,,-0.0017068440619965042
2023-10-02,81.64789993391835,82.58348819469147,81.10033747283127,82.22796630859375,14676000,0.0,0.0,,,,0.0052615462590472895
2023-10-03,81.44502545859892,82.30674734379893,79.66347887588854,80.24649810791016,18761000,0.0,0.0,,,,-0.02409725412942032
2023-10-04,80.78814831702427,81.79759546870267,80.39126395282389,81.13086700439453,16417000,0.0,0.0,,,,0.011020654076332903
2023-10-05,80.7664938057355,81.6055622162944,80.31051478993409,81.13580322265625,11474000,0.0,0.0,,,,6.0842666225413566e-05
2023-10-06,80.69656071218947,83.55156283971745,79.94020984314876,83.24331665039062,21103000,0.0,0.0,,,,0.025975134823659207
2023-10-09,82.77060734679723,84.36110528035242,82.51159786670203,84.2892074584961,15760000,0.0,0.0,,,,0.012564261615116257
2023-10-10,84.41427329947399,85.93090473759842,84.27344554511673,84.53836822509766,14718000,0.0,0.0,,,,0.0029560221778601736
2023-10-11,84.66639467943081,86.20567219882125,84.35518810155936,86.12886047363281,14334000,0.0,0.0,,,,0.018813850822152256
2023-10-12,86.31301841855327,90.4000438212659,86.31301841855327,89.18575286865234,43871000,0.0,0.0,,,,0.035492079869736015
2023-10-13,89.52060231041096,91.18594340333527,86.87043612609298,86.977783203125,28312000,0.0,0.0,,,,-0.024756977370355537
2023-10-16,87.74495140585496,90.18928923143207,87.74495140585496,88.8873519897461,21150000,0.0,0.0,,,,0.021954672978518497
2023-10-17,87.17178978242298,87.94290498103034,85.28584888661341,87.09793090820312,33008000,0.0,0.0,,,,-0.020131335240466952
2023-10-18,86.65968489203085,88.20389138592427,86.19188697206256,87.35694122314453,20404000,0.0,0.0,,,,0.002973782640306233
2023-10-19,87.35595766214948,87.59920356620366,85.25335401278215,85.46607208251953,26620000,0.0,0.0,,,,-0.021645322216525043
2023-10-20,86.16234111321312,86.16234111321312,83.89133479908882,84.06761932373047,26953000,0.0,0.0,,,,-0.01636266561354105
