Company,Average_Return,20_day_MA,200_day_MA,Volatility_20,Momentum_30,Average_Volume,environmentScore,socialScore,governanceScore,totalEsg,esgPerformance,highestControversy,totalCurrentAssets,totalNonCurrentAssets,totalLiabilities,commonStockEquity,retainedEarnings,netDebt,tangibleBookValue
AVGO,0.0035766902970863915,160.84698410034179,138.3972981262207,11.408088788607033,0.13308227091654734,29654992.0,,,,,,,,,,23988000000.0,2682000000.0,24991000000.0,-23532000000.0
PEP,0.00018168885836184476,174.68286056518554,168.43235496520995,3.194695806808116,-0.015703527261713424,5341674.0,,,,,,,,,,18503000000.0,70035000000.0,34394000000.0,-14154000000.0
INTC,-0.0008751629412429833,20.782999897003172,34.655667762756345,1.5731066894309373,0.20080321208232577,90249088.0,,,,,,,,,,105590000000.0,69156000000.0,42199000000.0,73410000000.0
AAPL,0.001268980015835152,223.65800094604492,196.64616806030273,4.034978452547299,0.026159133230314158,55045184.0,,,,,,,,,,62146000000.0,-214000000.0,81123000000.0,62146000000.0
ACN,0.0006650856547165017,342.9289978027344,331.86024322509763,6.199165198322197,0.11249730324519902,2403442.0,,,,,,,,,,25692839000.0,19316224000.0,,8046879000.0
ADP,0.0006452122186415316,275.3049255371094,246.6656209564209,2.9597893583288313,0.04945209223532232,1564078.0,,,,,,,,,,4547600000.0,23622200000.0,463300000.0,858000000.0
AMAT,0.002102067781823366,188.65600051879883,197.83472984313966,8.555539454071742,0.04156967427312486,7219550.0,,,,,,,,,,16349000000.0,43726000000.0,,12323000000.0
AMZN,0.0018172831221469597,183.68200073242187,175.88809997558593,7.528548568654185,0.12380950501422983,41398094.0,,,,,,,,,,201875000000.0,113618000000.0,,171399000000.0
BA,-0.0007157399849490162,159.38500061035157,190.25155044555663,5.775465477535838,-0.08261126509759831,7324072.0,,,,,,,,,,-17233000000.0,27251000000.0,39363000000.0,-27420000000.0
BAC,0.0017012460145524834,39.619493865966795,36.870211887359616,0.6222534982600437,0.024933047484593684,41208444.0,,,,,,,,,,263249000000.0,224672000000.0,,194228000000.0
C,0.0019677488843551885,60.26150016784668,58.298297214508054,1.8649743090388031,0.04099190882615944,13234088.0,,,,,,,,,,187853000000.0,198905000000.0,63144000000.0,163334000000.0
